OrderID,OrderDate,CustomerName,Email,Country,ProductCategory,Quantity,UnitPrice,Discount,PaymentMethod,IsReturned
ORD-21390,07-May-2026,Customer 1490,customer1490@example.com,CANADA, Apparel,2.0,70.76,0.08,Credit Card,No
ORD-20002,26-Jun-2025,Customer 1002,customer1002@example.com,DE,Apparel,1.0,$122.24,0.18,Credit Card,false
ORD-20503,"April 07, 2025",Customer 1503,customer1503@example.com,AUS,Home & Garden,3.0,$197.06,0.13,Gift Card,0
ORD-21340,2026-01-31,Customer 1440,  customer1440@example.com ,United kingdom,electronics,5.0,24.27,0.07,,FALSE
ORD-21025,09/17/2025,Customer 1125,customer1125@example.com,USA,Sports ,1.0,$149.32,0.18,Credit Card,No
ORD-20472,2025-12-09,Customer 1472,customer1472@example.com,America,Sport,1.0,$51.30,,Credit Card,FALSE
ORD-20481,07/16/2025,Customer 1481,customer1481@example.com,UK,Sport,2.0,$140.65,0.26,PayPal,no
ORD-20368,2025-09-14,Customer 1368,customer1368@example.com,United States,Home & Garden,4.0,25.65,0.15,PayPal,No
ORD-20458,30-Jan-2026,Customer 1458,  customer1458@example.com ,AUS,apparel,4.0,$80.58,0.07,PayPal,No
ORD-20861,05/19/2026,Customer 1861,  customer1861@example.com ,england,Beuaty,3.0,$54.61,0.02,Debit Card,No
ORD-20592,2026-05-06,Customer 1592,customer1592@example.com,America,SPORTS,2.0,23.74,0.25,Credit Card,TRUE
ORD-21498,19-Sep-2025,Customer 1598,customer1598@example.com,USA,Sports ,3.0,$66.88,0.22,PayPal,FALSE
ORD-21448,2026-07-05,Customer 1548,customer1548@example.com,America,Sports,5.0,179.61,0.24,Credit Card,No
ORD-21372,2026-07-27,Customer 1472,  customer1472@example.com ,United states,ELECTRONICS,1.0,119.87,0.05,PayPal,FALSE
ORD-20626,01-Aug-2025,Customer 1626,customer1626@example.com,england,Electronics ,5.0,$121.12,0.04,Debit Card,false
ORD-20174,20-Sep-2025,Customer 1174,  customer1174@example.com ,us, Apparel,3.0,$123.22,0.16,Debit Card,false
ORD-20615,"May 11, 2025",Customer 1615,customer1615@example.com,CA,Home & garden,1.0,$46.19,0.22,Debit Card,FALSE
ORD-21194,13-Dec-2025,Customer 1294,  customer1294@example.com ,germany,Beauty,1.0,$163.86,0.01,Credit Card,0
ORD-20570,14-Sep-2025,Customer 1570,customer1570@example.com,england,,2.0,110.87,0.07,PayPal,No
ORD-20764,2025-03-18,Customer 1764,customer1764@example.com,canada,SPORTS,5.0,122.9,0.11,Gift Card,false
ORD-20611,"February 26, 2026",Customer 1611,customer1611@example.com,CANADA,Sport,4.0,138.92,0.13,Gift Card,1
ORD-20795,"April 01, 2026",Customer 1795,customer1795@example.com,AUS,HOME & GARDEN,3.0,158.38,0.23,Gift Card,N
ORD-20834,26-May-2026,Customer 1834,  customer1834@example.com ,United States,Appreal,3.0,22.72,0.16,Gift Card,N
ORD-20272,2026-06-07,Customer 1272,customer1272@example.com,Canada,apparel,4.0,29.64,0.06,Debit Card,FALSE
ORD-21362,03-May-2026,Customer 1462,customer1462@example.com,U.S.A.,sports,3.0,76.95,0.22,Gift Card,No
ORD-20972,2025-09-29,Customer 1072,customer1072@example.com,AUSTRALIA,Appreal,4.0,106.45,0.1,Debit Card,1
ORD-20709,08/09/2025,Customer 1709,,AUS, Beauty,5.0,$18.22,0.24,Credit Card,Yes
ORD-20292,2025-10-19,Customer 1292,customer1292@example.com,DE,Home & garden,4.0,$165.16,0.2,Gift Card,N
ORD-20056,2026-05-22,Customer 1056,customer1056@example.com,USA,apparel,3.0,52.95,0.21,Gift Card,no
ORD-21063,"May 24, 2025",Customer 1163,  customer1163@example.com ,United kingdom, Apparel,4.0,$137.75,0.11,Gift Card,FALSE
ORD-21358,23-Mar-2026,Customer 1458,customer1458@example.com,United kingdom,sports,2.0,194.95,0.14,PayPal,no
ORD-21384,2025-07-16,Customer 1484,  customer1484@example.com ,United Kingdom,Electronics,5.0,174.78,0.04,Debit Card,TRUE
ORD-20841,09/18/2025,Customer 1841,  customer1841@example.com ,U.K.,Beuaty,2.0,74.86,0.3,PayPal,false
ORD-21215,"June 09, 2026",Customer 1315,customer1315@example.com,DE,apparel,5.0,106.93,0.09,Debit Card,false
ORD-20974,25-Feb-2026,Customer 1074,  customer1074@example.com ,Germany,Electronic,5.0,98.87,0.01,Gift Card,N
ORD-20311,"September 20, 2025",Customer 1311,customer1311@example.com,CANADA,Home&Garden,3.0,$112.89,0.15,Gift Card,N
ORD-20442,01-Sep-2025,Customer 1442,customer1442@example.com,germany,beauty,4.0,215.83,0.26,Gift Card,false
ORD-21517,01/12/2026,Customer 1617,  customer1617@example.com ,U.S.A., Beauty,4.0,76.22,0.13,PayPal,false
ORD-20093,04/08/2025,Customer 1093,customer1093@example.com,U.K.,Home&Garden,3.0,$196.37,0.04,Gift Card,no
ORD-20720,2026-08-19,Customer 1720,customer1720@example.com,CA,beauty,5.0,$137.63,0.28,PayPal,FALSE
ORD-21184,2025-03-09,Customer 1284,customer1284@example.com,U.S.A.,Sports,5.0,36.74,0.16,PayPal,0
ORD-21189,03/18/2025,Customer 1289,customer1289@example.com,GERMANY,Home & garden,5.0,69.55,0.15,PayPal,no
ORD-21325,05/17/2026,Customer 1425,customer1425@example.com,Germany, Beauty,4.0,173.28,0.16,Credit Card,false
ORD-20618,11-Jun-2026,Customer 1618,  customer1618@example.com ,United kingdom,Electronic,4.0,70.85,0.2,Credit Card,false
ORD-20136,2026-05-06,Customer 1136,  customer1136@example.com ,UK,Beuaty,3.0,$93.01,0.04,PayPal,FALSE
ORD-21574,13-Jan-2026,Customer 1674,,U.S.A.,Sports,3.0,120.34,0.01,PayPal,false
ORD-21122,19-Oct-2025,Customer 1222,customer1222@example.com,CANADA,ELECTRONICS,4.0,$128.83,0.11,Credit Card,false
ORD-20269,05/26/2025,Customer 1269,customer1269@example.com,DE,APPAREL,1.0,$210.30,0.02,Credit Card,0
ORD-21181,06/17/2025,Customer 1281,customer1281@example.com,USA,electronics,2.0,$11.24,0.29,Gift Card,0
ORD-21460,2025-11-09,Customer 1560,customer1560@example.com,Canada,Home&Garden,1.0,159.18,0.09,Gift Card,FALSE
ORD-20780,2025-06-15,Customer 1780,  customer1780@example.com ,germany,home and garden,4.0,8.51,0.16,Gift Card,N
ORD-20891,"November 21, 2025",Customer 1891,customer1891@example.com,DE,sports,,$26.38,0.3,Credit Card,FALSE
ORD-21543,"December 23, 2025",Customer 1643,customer1643@example.com,CANADA,Home & garden,1.0,67.16,0.28,Credit Card,false
ORD-21081,03/20/2025,Customer 1181,customer1181@example.com,Canada,sports,1.0,201.75,0.23,PayPal,0
ORD-20279,"July 28, 2026",Customer 1279,customer1279@example.com,GERMANY,Home&Garden,3.0,$169.57,0.14,Debit Card,false
ORD-20965,04/22/2025,Customer 1065,customer1065@example.com,Australia,Electronics,2.0,199.93,0.23,Debit Card,FALSE
ORD-20260,2026-02-03,Customer 1260,,U.S.A.,Electronics,3.0,$205.57,0.15,Debit Card,FALSE
ORD-20928,2025-11-15,Customer 1028,customer1028@example.com,AUS,APPAREL,5.0,146.35,0.03,Credit Card,FALSE
ORD-21401,02/06/2026,Customer 1501,  customer1501@example.com ,GERMANY,Electronics,4.0,96.41,0.08,PayPal,FALSE
ORD-20232,2026-02-02,Customer 1232,customer1232@example.com,United kingdom,HOME & GARDEN,2.0,80.09,0.23,PayPal,No
ORD-21268,2025-04-22,Customer 1368,customer1368@example.com,Australia,Beuaty,4.0,$162.16,0.21,Gift Card,No
ORD-20036,2025-05-11,Customer 1036,customer1036@example.com,USA,Sports ,5.0,$15.82,0.23,Credit Card,true
ORD-21085,07/05/2026,Customer 1185,customer1185@example.com,America,Home & garden,5.0,$139.65,0.08,Debit Card,0
ORD-21487,"February 08, 2026",Customer 1587,customer1587@example.com,United states,Electronics ,5.0,55.58,0.06,Debit Card,FALSE
ORD-20065,02/19/2026,Customer 1065,customer1065@example.com,AUS,home and garden,1.0,153.27,0.02,Credit Card,No
ORD-20632,2025-06-09,Customer 1632,customer1632@example.com,GERMANY,HOME & GARDEN,5.0,90.77,0.14,PayPal,0
ORD-21059,"January 13, 2026",Customer 1159,  customer1159@example.com ,UK, Beauty,4.0,131.99,0.14,Gift Card,no
ORD-21235,"July 07, 2025",Customer 1335,customer1335@example.com,UK,Electronics ,4.0,99.53,0.27,PayPal,0
ORD-21263,"December 05, 2025",Customer 1363,  customer1363@example.com ,AUS,Sport,1.0,$190.50,0.07,Credit Card,Y
ORD-20940,2025-09-11,Customer 1040,customer1040@example.com,DE,ELECTRONICS,4.0,$198.21,0.29,Debit Card,FALSE
ORD-20080,2025-04-17,Customer 1080,customer1080@example.com,United Kingdom,Sports,4.0,$186.33,0.16,Credit Card,yes
ORD-21107,"May 23, 2025",Customer 1207,,Germany,sports,1.0,$79.45,0.21,Credit Card,No
ORD-20473,03/26/2026,Customer 1473,  customer1473@example.com ,Australia,Electronics,2.0,85.14,0.15,Debit Card,false
ORD-20022,22-Jan-2026,Customer 1022,customer1022@example.com,DE, Beauty,3.0,$71.45,0.01,PayPal,0
ORD-20607,"January 21, 2026",Customer 1607,,AUS,Electronics,3.0,159.98,0.16,Gift Card,false
ORD-20901,07/11/2025,Customer 1001,customer1001@example.com,Canada,APPAREL,1.0,141.59,0.19,PayPal,No
